candidate_id,full_name,email,phone,location,resume_raw,resume_parsed,parsed_at,created_at,updated_at
1,Susan Tapia,sarahharris@davis.com,001-201-317-3861,"Stephanietown, Belize",Realize shake start born no agreement us pattern. Range service before learn wide should. Thousand detail federal what would week. Great kind look. During voice low no east serious. Day hour check without family better deal.,"{""skills"": [""Docker"", ""Leadership"", ""Java"", ""JavaScript"", ""Communication""], ""education"": [""B.Sc. in Computer Science"", ""Ph.D. in Data Science""], ""experience"": [""DevOps Engineer at TUV Co (3 yrs)"", ""Project Manager at QRS Ltd (4 yrs)""]}",2025-02-14 19:07:52,2025-02-13 19:07:52,2025-02-13 19:07:52
2,Michael Ochoa,nramirez@frey-tran.com,001-758-860-6429x481,"Lawrenceberg, Seychelles",Yourself follow law necessary state look level. Leg every nature talk. Likely year while Congress less. Cost seven mission memory imagine if mind candidate. Them involve simple ever bed note in. Travel kid against country hair else. Arm office feeling nothing others reduce. Watch teacher evening store gun several head. Film politics than stuff degree. Culture smile set beat possible finally few rule. Task industry other pull try nature. Learn technology nation court.,"{""skills"": [""Communication"", ""SQL"", ""AWS"", ""C++""], ""education"": [""B.Sc. in Computer Science"", ""Ph.D. in Data Science""], ""experience"": [""Data Analyst at XYZ Inc (2 yrs)""]}",2024-08-11 16:43:23,2024-08-06 16:43:23,2024-08-08 16:43:23
3,Antonio Martin,ryan46@hotmail.com,(370)714-4433x207,"New Grace, Greenland",Matter prepare smile blue. Plan style current wait. Compare difficult pick. Nation study hope other determine. Goal dog attack necessary tell over. Old road traditional into. Should official place home subject concern kid fact. Each daughter ago single occur per. Defense activity adult pay. Space onto late participant share.,"{""skills"": [""Python"", ""Docker"", ""AWS""], ""education"": [""MBA"", ""M.Sc. in Software Engineering""], ""experience"": [""Software Engineer at ABC Corp (3 yrs)""]}",2025-03-11 08:19:00,2025-03-08 08:19:00,2025-03-12 08:19:00
4,Mr. Jonathan Rodriguez,connorbarrera@lee-acevedo.com,001-153-748-0137x2127,"Lake Jenniferland, Costa Rica",Quality far fill many action through seat. National there truth well alone anything stay. Laugh bill everything though long. East including only well point analysis. Young walk expect information lot likely view. Today top team music season let five. Price assume share subject federal. Tv meeting care put better new green seek. Stand run away child thing.,"{""skills"": [""SQL"", ""Python"", ""Leadership"", ""JavaScript""], ""education"": [""B.Sc. in Computer Science"", ""M.Sc. in Software Engineering""], ""experience"": [""DevOps Engineer at TUV Co (3 yrs)""]}",2024-11-27 23:56:58,2024-11-26 23:56:58,2024-11-26 23:56:58
5,Noah Palmer,mccoytyler@yahoo.com,001-290-859-8001x25837,"West Sherrybury, Western Sahara",Draw leave site such itself business. Team back next for share happy. Remain loss bill this man exist. Fire point research young security. Building production if center window response. Purpose media hotel professor begin. Media white page provide. Help price sign thought in seem blue. Woman station cultural side yard your. Describe difficult choose draw simply consumer her. Environmental grow week tough figure painting true.,"{""skills"": [""Docker"", ""Kubernetes"", ""SQL""], ""education"": [""MBA""], ""experience"": [""Software Engineer at ABC Corp (3 yrs)""]}",2024-07-17 07:54:37,2024-07-12 07:54:37,2024-07-14 07:54:37
6,Terri Jimenez,brownemily@gmail.com,(837)266-9275x8525,"Robertmouth, Lao People's Democratic Republic",Present environmental tonight. Firm pressure line investment read production ball. Anyone be probably rich continue south. Per travel career western. American join far card above teach bring camera. Newspaper determine top reality. Particularly growth although last smile. Professor on tough draw receive deep ago. During popular anyone may.,"{""skills"": [""Kubernetes"", ""AWS"", ""Java"", ""Docker""], ""education"": [""MBA"", ""B.A. in English""], ""experience"": [""Software Engineer at ABC Corp (3 yrs)"", ""DevOps Engineer at TUV Co (3 yrs)""]}",2025-06-12 00:25:10,2025-06-11 00:25:10,2025-06-12 00:25:10
7,Deborah Kim,sperez@martinez.com,+1-002-548-3456x3220,"Elizabethside, Bouvet Island (Bouvetoya)",Meet paper can report store. Sometimes explain explain training end charge. Worker behavior new series. High government sister play the tend recognize hair. Appear age summer little. Seat necessary space hair institution which. Popular build exactly interview pass western. Chance find plant conference hear down. Remember hot natural movie four director day.,"{""skills"": [""Communication"", ""AWS"", ""Java"", ""Python""], ""education"": [""B.Sc. in Computer Science"", ""M.Sc. in Software Engineering""], ""experience"": [""Software Engineer at ABC Corp (3 yrs)"", ""Project Manager at QRS Ltd (4 yrs)""]}",2025-03-02 14:57:10,2025-02-28 14:57:10,2025-03-03 14:57:10
8,Joseph Walsh,williamsdon@li-curry.com,152-164-4146x962,"Lake Kylietown, Saudi Arabia",Everyone company pass doctor health deep group. Together participant create each collection easy black. Manage according then long because seek president identify. Draw result health blue beautiful why. Strong matter Democrat owner always per whole. Teacher difference owner black social simply great.,"{""skills"": [""AWS"", ""JavaScript"", ""Python"", ""SQL""], ""education"": [""M.Sc. in Software Engineering"", ""B.A. in English""], ""experience"": [""DevOps Engineer at TUV Co (3 yrs)"", ""Data Analyst at XYZ Inc (2 yrs)""]}",2025-03-30 21:06:59,2025-03-28 21:06:59,2025-03-31 21:06:59
9,Ana Sexton,michaeldavid@hotmail.com,+1-344-251-0568x48481,"Lake David, Tokelau",Along collection long how film require hear. Speak technology collection perform girl. Sound rate power lead. Nearly determine defense never forward. Worry few three apply security old see. Late treatment various movie letter. Many hear eat put cover nation majority. Talk which learn page despite send current. Put process pass yard. You edge set.,"{""skills"": [""Python"", ""Communication"", ""Kubernetes""], ""education"": [""M.Sc. in Software Engineering""], ""experience"": [""Project Manager at QRS Ltd (4 yrs)"", ""Data Analyst at XYZ Inc (2 yrs)""]}",2025-03-02 20:08:13,2025-02-26 20:08:13,2025-02-28 20:08:13
10,Michael Serrano MD,keithvilla@yahoo.com,(274)916-0586,"Port Dakota, Lebanon",Attorney current sometimes effort form rate. Total thought major major town agree wish industry. Certainly see significant thus as beautiful. Rate behind sport scientist wear draw sure some. Check month might address early customer. Imagine pretty provide answer hand. Bill not last by simple report.,"{""skills"": [""Communication"", ""Kubernetes"", ""Python"", ""Docker""], ""education"": [""Ph.D. in Data Science""], ""experience"": [""Software Engineer at ABC Corp (3 yrs)""]}",2024-12-28 08:54:18,2024-12-24 08:54:18,2024-12-28 08:54:18
